name,category,description,salary_range,skills_required,required_courses,top_colleges
Software Engineer,IT & Software,"Designs, develops, and maintains software applications.","$60,000 - $150,000","Programming, Problem-Solving, Algorithms","Computer Science, Software Engineering","MIT, Stanford, IITs"
Data Scientist,Data Science,Analyzes large datasets to extract insights and build predictive models.,"$80,000 - $180,000","Python, Machine Learning, Statistics","Data Science, AI & ML, Big Data Analytics","Harvard, UC Berkeley, IISc"
Cybersecurity Analyst,IT Security,Protects systems from cyber threats and vulnerabilities.,"$70,000 - $160,000","Networking, Ethical Hacking, Cryptography","Cybersecurity, Ethical Hacking, Information Security","MIT, Carnegie Mellon, NITs"
Civil Engineer,Engineering,"Designs and oversees construction projects like roads, bridges, and buildings.","$50,000 - $120,000","Structural Analysis, CAD Software, Project Management","Civil Engineering, Architecture","IITs, NITs, Stanford"
AI Engineer,Artificial Intelligence,Builds AI-driven applications and models.,"$90,000 - $200,000","Deep Learning, Python, Neural Networks","Artificial Intelligence, Data Science","Stanford, MIT, IIIT Hyderabad"
Mechanical Engineer,Engineering,"Designs, develops, and tests mechanical devices and systems.","$50,000 - $130,000","CAD, Thermodynamics, Manufacturing Processes","Mechanical Engineering, Robotics","IITs, NITs, Michigan Tech"
UX/UI Designer,Design & Creativity,Designs user-friendly digital interfaces and experiences.,"$50,000 - $140,000","Figma, Adobe XD, User Research","Graphic Design, UX/UI Design","Rhode Island School of Design, NID, Parsons School"
Digital Marketer,Marketing,Manages online marketing campaigns and branding strategies.,"$40,000 - $120,000","SEO, SEM, Social Media Marketing","Digital Marketing, Business Analytics","Harvard Business School, IIMs"
Game Developer,Game Development,Creates and develops video games for different platforms.,"$50,000 - $150,000","C++, Unity, Game Physics","Game Development, Computer Science","DigiPen, Full Sail University, IIT Bombay"
Doctor (Physician),Medicine,Diagnoses and treats patients in hospitals and clinics.,"$100,000 - $300,000","Medical Knowledge, Patient Care, Surgery","MBBS, MD, Specialization in Medicine","AIIMS, Johns Hopkins, Oxford"
Nurse,Healthcare,Provides medical care and assistance to patients.,"$40,000 - $100,000","Patient Care, Medical Knowledge","Nursing, Healthcare","Mayo Clinic, AIIMS, Johns Hopkins"
Pharmacist,Pharmacy,Prepares and dispenses medications to patients.,"$80,000 - $150,000","Pharmacology, Chemistry","Pharmacy, Medical Studies","Harvard Medical, AIIMS, UCSF"
Architect,Architecture,Designs buildings and infrastructure projects.,"$60,000 - $150,000","AutoCAD, 3D Modeling, Project Planning","Architecture, Civil Engineering","MIT, IIT Roorkee, Harvard GSD"
Biotechnologist,Biotechnology,Works with biological systems to develop new products.,"$70,000 - $160,000","Genetics, Molecular Biology","Biotechnology, Biochemistry","Johns Hopkins, IIT Delhi, UC Berkeley"
Economist,Economics,Analyzes financial data and market trends.,"$60,000 - $200,000","Data Analysis, Economic Theory","Economics, Finance","Harvard, LSE, IIMs"
Journalist,Media & Communication,"Investigates and reports news stories for newspapers, TV, and digital media.","$40,000 - $120,000","Writing, Reporting, Interviewing","Journalism, Mass Communication","Columbia Journalism School, IIMC"
